time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
1705272301.56965,-5.55,-0.95,-7.35,-0.89,-3.71,2.44,31.64
1705272301.71009,-6.51,-0.26,-5.88,-0.47,2.62,-0.62,31.73
1705272301.781285,-13.1,0.97,-5.03,0.19,-4.37,1.01,31.78
1705272301.921997,-15.94,-1.8,-14.8,2.64,-4.37,4.22,31.73
1705272301.992961,-10.99,4.52,3.3,-2.08,2.31,-0.35,31.68
1705272302.133446,-11.24,2.9,-2.78,0.23,4.37,-1.03,31.64
1705272302.205586,-0.53,-1.02,-6.32,1.26,4.37,1.54,31.68
1705272302.4182348,2.03,-0.87,-9.81,1.6,-0.12,-0.48,31.78
1705272302.492128,4.65,-2.3,-15.66,-2.29,-0.77,-0.86,31.73
1705272302.633388,9.31,-11.65,0.98,-4.37,-3.42,-4.37,31.73
1705272302.704708,-4.02,7.51,1.88,0.41,-1.19,0.04,31.64
1705272302.845973,-5.09,8.0,0.45,-0.2,0.66,-0.65,31.73
1705272302.916926,2.66,3.7,-1.78,-2.54,-0.54,-1.8,31.68
1705272303.057974,-10.26,4.51,10.36,3.03,-2.11,-4.37,31.73
1705272303.129153,-13.59,2.45,2.71,4.37,-0.62,-3.74,31.68
1705272303.270051,-8.46,-0.97,4.08,-1.04,4.0,0.54,31.73
1705272303.341407,-7.78,0.39,-7.64,-2.51,3.84,0.85,31.68
1705272303.552421,-3.97,-0.61,-8.94,1.66,-0.91,0.66,31.82
1705272303.623989,-4.84,-1.49,-8.31,1.67,-2.28,0.83,31.68
1705272303.764927,-9.28,-2.17,-19.61,-3.46,0.71,0.99,31.73
1705272303.836241,-1.65,-5.7,5.71,-4.37,4.0,0.35,31.78
1705272303.977396,-3.91,1.21,2.25,-0.5,0.38,-0.78,31.64
1705272304.048657,-4.82,0.6,6.3,2.66,0.5,-3.67,31.78
1705272304.189982,-17.85,6.44,-1.78,2.32,-0.12,-4.37,31.64
1705272304.261158,-11.27,3.12,1.55,1.1,-0.04,-1.92,31.68
1705272304.4022741,-6.47,-2.63,1.11,1.0,1.06,-0.35,31.68
1705272304.4732969,-10.58,0.33,-0.37,-0.51,0.9,0.59,31.64
1705272304.68451,-6.52,2.41,7.64,4.37,2.77,4.37,31.73
1705272304.756023,-2.38,-2.92,-12.75,4.37,-1.82,1.11,31.68
1705272304.898653,0.5,-0.29,-5.02,3.61,0.0,0.19,31.64
1705272304.970129,-2.68,-0.56,-12.39,-1.29,0.73,0.12,31.68
1705272305.112462,-2.54,-2.35,-13.77,-4.37,1.25,3.49,31.64
1705272305.1838899,2.04,7.97,-2.81,-4.37,0.03,-0.14,31.68
1705272305.3254778,-2.51,6.11,6.83,-4.37,2.3,-1.05,31.59
1705272305.397077,-3.4,2.24,14.64,-1.41,1.97,-1.29,31.54
1705272305.539066,2.93,-2.27,13.1,2.06,-2.25,-0.67,31.68
1705272305.610614,-13.08,2.78,-0.1,4.37,2.15,-4.37,31.73
1705272305.682267,-7.86,2.91,10.47,4.25,1.31,-2.65,31.68
1705272305.8240662,-8.9,2.21,-1.33,4.37,3.7,1.15,31.64
1705272305.89573,-8.75,1.22,-7.36,3.15,1.98,-0.76,31.68
1705272306.0376801,-6.03,-0.46,-7.61,1.65,2.49,0.86,31.64
1705272306.109004,-2.71,0.59,-4.98,-1.65,4.37,1.07,31.68
1705272306.251123,3.52,-1.38,-11.5,-1.03,-0.58,4.37,31.68
1705272306.3227708,-0.01,-0.23,-8.47,-2.44,-0.89,2.18,31.64
1705272306.4649699,-0.66,4.2,-8.5,-0.14,-0.23,-1.09,31.64
1705272306.536717,-1.89,4.91,-9.08,-0.44,-0.91,-0.63,31.64
1705272306.608031,-1.17,4.33,-8.77,-0.33,-0.79,-0.24,31.68
1705272306.749099,-0.75,3.97,-8.21,0.01,0.03,-0.24,31.64
1705272306.820449,-0.87,4.17,-8.72,-0.04,0.23,0.05,31.68
1705272306.961598,-0.32,4.59,-7.07,0.59,0.58,-0.13,31.64
1705272307.0328362,-1.71,3.74,-15.85,-3.33,-0.36,2.48,31.59
1705272307.174316,6.1,0.19,4.79,-4.37,1.84,-1.56,31.64
1705272307.245745,3.16,1.39,7.02,-0.36,0.33,-0.89,31.64
1705272307.38732,-0.28,3.0,7.86,-0.92,1.2,-2.68,31.59
1705272307.4591308,-2.69,3.69,12.28,2.46,1.17,-2.25,31.64
1705272307.5408971,-10.75,0.87,1.6,4.37,0.84,-3.24,31.68
1705272307.687177,-8.09,1.82,-4.64,3.5,1.65,-1.5,31.64
1705272307.758852,-5.56,-1.72,-1.29,3.96,0.18,-2.52,31.68
1705272307.900964,-12.13,-0.19,-5.5,0.83,3.54,-0.04,31.64
1705272307.972702,-6.88,-1.92,-5.01,-2.12,4.37,2.66,31.68
1705272308.113556,4.47,-3.77,5.45,4.37,4.37,4.14,31.59
1705272308.184909,-14.42,-2.0,-10.16,-0.92,-4.37,4.37,31.73
1705272308.256198,-4.3,-1.13,-1.43,-3.21,-4.37,0.83,31.59
1705272308.397713,-5.48,1.54,2.72,-0.01,2.25,-1.66,31.54
1705272308.468962,-10.88,-0.45,-0.88,-0.62,4.37,-2.89,31.68
1705272308.6102002,-4.49,-1.95,-7.1,0.48,3.12,-0.78,31.64
1705272308.681615,-3.0,-2.29,-8.08,-0.04,-1.27,0.12,31.78
1705272308.822856,-13.6,-0.36,-2.52,1.34,-4.37,4.37,31.64
1705272308.894819,-11.22,2.09,5.08,-0.91,3.08,-0.17,31.64
1705272309.036005,-11.03,-1.63,0.84,-0.77,4.37,-3.1,31.68
1705272309.107326,-5.45,-2.05,-4.04,-0.41,3.09,-1.1,31.54
1705272309.318345,-4.31,-1.24,-11.73,-1.23,2.79,0.32,31.64
1705272309.389791,-0.47,-0.3,-10.96,-1.08,1.35,1.44,31.59
1705272309.531306,4.67,-0.94,-7.07,-0.87,-0.55,0.27,31.64
1705272309.602942,2.05,0.28,-8.65,0.07,-1.32,0.1,31.59
1705272309.7441769,-0.74,0.29,-8.86,0.57,-0.76,-0.46,31.64
1705272309.81558,-0.84,-0.23,-10.02,-0.1,0.36,-0.17,31.64
1705272309.957607,-0.24,-0.31,-9.39,-0.19,-0.03,-0.14,31.68
1705272310.0292659,-1.02,-0.46,-9.74,0.34,-0.31,-0.11,31.73
1705272310.17094,-0.91,-0.7,-9.64,0.1,-0.05,-0.04,31.68
1705272310.3128278,-0.61,-0.99,-9.35,0.12,0.0,0.09,31.64
